Symbol,Name
IHAAS.IS,İHLAS HABER AJANSI A.Ş.
IHLAS.IS,İHLAS HOLDİNG A.Ş.
IHYAY.IS,İHLAS YAYIN HOLDİNG A.Ş.
IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.
INDES.IS,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.
INFO.IS,İNFO YATIRIM MENKUL DEĞERLER A.Ş.
INTEM.IS,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.
IPEKE.IS,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.
ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.
ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.
ISGYO.IS,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ISGSY.IS,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
ISMEN.IS,İŞ YATIRIM MENKUL DEĞERLER A.Ş.
ISYAT.IS,İŞ YATIRIM ORTAKLIĞI A.Ş.
ISBIR.IS,İŞBİR HOLDİNG A.Ş.
ISSEN.IS,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.
IZINV.IS,İZ YATIRIM HOLDİNG A.Ş.
IZENR.IS,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.
IZMDC.IS,İZMİR DEMİR ÇELİK SANAYİ A.Ş.
IZFAS.IS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.
JANTS.IS,JANTSA JANT SANAYİ VE TİCARET A.Ş.
KFEIN.IS,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.
KLKIM.IS,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.
KLSER.IS,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.
KAPLM.IS,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.
KRDMA.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMB.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
KAREL.IS,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.
KARSN.IS,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.
KRTEK.IS,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.
KARYE.IS,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
KARTN.IS,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.
KTLEV.IS,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.
KATMR.IS,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.
KAYSE.IS,KAYSERİ ŞEKER FABRİKASI A.Ş.
KENT.IS,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.
KERVT.IS,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.
KRVGD.IS,KERVAN GIDA SANAYİ VE TİCARET A.Ş.
KERVN.IS,KERVANSARAY YATIRIM HOLDİNG A.Ş.
KZBGY.IS,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
