,Code,Name
252,GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.
253,GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.
254,GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.
255,"GLB, GLBMD.IS",GLOBAL MENKUL DEĞERLER A.Ş.
256,GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.
257,GGBVK.IS,GOLDEN GLOBAL VARLIK KİRALAMA A.Ş.
258,GSIPD.IS,GOLDMAN SACHS INTERNATIONAL
259,GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.
260,GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.
261,GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
262,GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
263,GRTRK.IS,GRAINTURK TARIM A.Ş.
264,GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.
265,GSDHO.IS,GSD HOLDİNG A.Ş.
266,GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.
267,GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.
268,GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.
269,SAHOL.IS,HACI ÖMER SABANCI HOLDİNG A.Ş.
270,HALKF.IS,HALK FİNANSAL KİRALAMA A.Ş.
271,HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
272,HLVKS.IS,HALK VARLIK KİRALAMA A.Ş.
273,"HALKI, HLY.IS",HALK YATIRIM MENKUL DEĞERLER A.Ş.
274,HATSN.IS,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.
