Symbol,Name,Market_id
ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,1
EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,1
EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,1
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
ENJSA.IS,ENERJİSA ENERJİ A.Ş.,1
ENERY.IS,ENERYA ENERJİ A.Ş.,1
ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.,1
ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,1
ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,1
ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,1
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,1
KIMMR.IS,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,1
ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.,1
ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,1
ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.,1
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,1
ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,1
EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,1
EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,1
ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,1
EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.,1
TEZOL.IS,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,1
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,1
EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,1
EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,1
FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,1
FENER.IS,FENERBAHÇE FUTBOL A.Ş.,1
FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,1
FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,1
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,1
FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.,1
FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,1
FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,1
FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
GWIND.IS,GALATA WIND ENERJİ A.Ş.,1
GSRAY.IS,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.,1
GARFA.IS,GARANTİ FAKTORİNG A.Ş.,1
GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,1
GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,1
GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,1
GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.,1
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,1
